CCAA;ANYO;EVIDA_H;EVIDA_M;EVIDA_T;GASTO_PROTG;GASTO_TOT;EVH_ME;EVM_ME;EVT_ME;GASTO_POBT;EVH_AG;
Comunitat Valenciana (VC);2009;78,57;84,53;81,55;1374,88;1357;1;1;1;1;1;
Extremadura (EX);2009;78,05;84,73;81,31;1685,72;1594;1;1;1;2;2;
Galicia (GA);2009;78,31;85,09;81,73;1526,95;1469;1;1;1;2;2;
La Rioja (RI);2009;79,81;86,28;82,99;1513,32;1463;2;2;2;1;1;
Madrid, Comunidad de (MD);2009;80,07;86,29;83,37;1330,98;1266;2;2;2;1;1;
Murcia, Región de (MC);2009;78,33;83,86;81,08;1642,59;1559;1;1;1;2;2;
Navarra, C. Foral de (NC);2009;80,00;86,60;83,30;1629,08;1596;2;2;2;2;2;
País Vasco (PV);2009;78,77;85,75;82,31;1690,55;1657;1;2;2;2;2;
Andalucía (AN);2010;77,99;84,05;81,02;1261,62;1205;1;1;1;1;1;
Aragón (AR);2010;79,56;85,71;82,60;1561,21;1482;2;2;2;2;2;
Asturias, Principado de (AS);2010;77,73;85,14;81,47;1588,03;1554;1;1;1;2;2;
Balears, Illes (IB);2010;78,96;84,73;81,83;1566,24;1544;1;1;1;2;2;
Canarias (CN);2010;78,92;84,99;81,92;1402,02;1389;1;1;1;1;1;
Cantabria (CB);2010;78,76;86,28;82,53;1501,03;1456;1;2;2;1;1;
Castilla - La Mancha (CM);2010;80,44;85,87;83,12;1619,49;1560;2;2;2;2;2;
Castilla y León (CL);2010;80,12;86,75;83,38;1502,83;1421;2;2;2;1;1;
Cataluña (CT);2010;79,47;85,77;82,66;1454,99;1429;2;2;2;1;1;
Comunitat Valenciana (VC);2010;78,97;84,76;81,88;1405,06;1390;1;1;1;1;1;
Extremadura (EX);2010;78,42;84,58;81,45;1658,92;1572;1;1;1;2;2;
Galicia (GA);2010;78,82;85,62;82,25;1476,72;1421;1;2;1;1;1;
La Rioja (RI);2010;80,44;86,24;83,30;1505,79;1459;2;2;2;1;2;
Madrid, Comunidad de (MD);2010;80,74;86,82;83,97;1203,37;1153;2;2;2;1;1;
Murcia, Región de (MC);2010;79,21;84,63;81,92;1611,73;1538;1;1;1;2;2;
Navarra, C. Foral de (NC);2010;81,05;87,10;84,12;1600,77;1572;2;2;2;2;2;
País Vasco (PV);2010;79,44;86,13;82,85;1685,13;1653;2;2;2;2;2;
Andalucía (AN);2011;78,27;84,03;81,16;1182,49;1130;1;1;1;1;1;
Aragón (AR);2011;79,65;85,79;82,69;1608,67;1525;2;2;2;2;2;
Asturias, Principado de (AS);2011;78,02;85,27;81,68;1639,57;1600;1;1;1;2;2;
Balears, Illes (IB);2011;79,31;85,17;82,22;1466,74;1446;1;1;1;1;2;
Canarias (CN);2011;78,69;84,67;81,64;1337,00;1317;1;1;1;1;1;
Cantabria (CB);2011;79,27;86,35;82,83;1342,27;1298;1;2;2;1;1;
Castilla - La Mancha (CM);2011;80,68;85,71;83,18;1542,07;1488;2;1;2;2;2;
Castilla y León (CL);2011;80,60;86,80;83,67;1384,76;1311;2;2;2;1;1;
Cataluña (CT);2011;79,84;85,98;82,96;1372,47;1349;2;2;2;1;1;
Comunitat Valenciana (VC);2011;79,23;85,02;82,14;1364,49;1347;1;1;1;1;1;
Extremadura (EX);2011;78,80;85,53;82,09;1618,46;1534;1;1;1;2;2;
Galicia (GA);2011;79,11;85,80;82,49;1376,42;1324;1;2;1;1;1;
La Rioja (RI);2011;80,18;86,52;83,28;1487,28;1439;2;2;2;2;2;
Madrid, Comunidad de (MD);2011;81,02;86,99;84,20;1368,45;1313;2;2;2;1;1;
Murcia, Región de (MC);2011;79,21;84,85;82,03;1620,11;1551;1;1;1;2;2;
Navarra, C. Foral de (NC);2011;81,19;86,61;83,94;1569,80;1546;2;2;2;2;2;
País Vasco (PV);2011;79,51;86,28;82,95;1660,13;1633;1;2;2;2;2;
Andalucía (AN);2012;78,51;84,25;81,39;1189,17;1101;1;1;1;1;1;
Aragón (AR);2012;79,76;85,93;82,81;1549,22;1525;1;1;1;2;2;
Asturias, Principado de (AS);2012;78,14;85,44;81,83;1560,98;1546;1;1;1;2;2;
Balears, Illes (IB);2012;79,58;85,40;82,48;1268,63;1174;1;1;1;1;1;
Canarias (CN);2012;79,13;85,08;82,07;1285,47;1207;1;1;1;1;1;
Cantabria (CB);2012;79,47;86,55;83,03;1842,24;1771;1;2;2;2;2;
Castilla - La Mancha (CM);2012;80,84;85,86;83,33;1312,73;1254;2;1;2;1;1;
Castilla y León (CL);2012;80,74;86,97;83,82;1435,23;1368;2;2;2;2;2;
Cataluña (CT);2012;80,05;86,21;83,19;1345,79;1264;2;2;2;1;1;
Comunitat Valenciana (VC);2012;79,49;85,27;82,39;1307,52;1211;1;1;1;1;1;
Extremadura (EX);2012;78,92;85,69;82,23;1438,74;1412;1;1;1;2;2;
Galicia (GA);2012;79,30;85,95;82,65;1307,72;1277;1;2;1;1;1;
La Rioja (RI);2012;80,37;86,72;83,48;1341,03;1309;2;2;2;1;1;
Madrid, Comunidad de (MD);2012;81,37;87,36;84,56;1227,56;1193;2;2;2;1;1;
Murcia, Región de (MC);2012;79,45;85,11;82,28;1527,03;1444;1;1;1;2;2;
Navarra, C. Foral de (NC);2012;81,43;86,81;84,16;1649,03;1437;2;2;2;2;2;
País Vasco (PV);2012;79,75;86,55;83,21;1569,03;1590;1;2;2;2;2;
Andalucía (AN);2013;79,03;84,64;81,85;1148,30;1051;1;1;1;1;1;
Aragón (AR);2013;80,40;86,59;83,47;1285,24;1241;2;2;2;1;1;
Asturias, Principado de (AS);2013;79,07;85,79;82,50;1444,29;1431;1;1;1;2;2;
Balears, Illes (IB);2013;80,35;85,49;82,94;1240,95;1156;2;1;1;1;1;
Canarias (CN);2013;80,07;85,37;82,72;1331,95;1218;1;1;1;1;1;
Cantabria (CB);2013;80,28;86,46;83,43;1413,83;1362;2;2;2;2;2;
Castilla - La Mancha (CM);2013;80,82;86,32;83,53;1271,83;1210;2;2;2;1;1;
Castilla y León (CL);2013;81,07;87,01;84,01;1409,26;1354;2;2;2;2;2;
Cataluña (CT);2013;80,36;86,44;83,46;1314,91;1243;2;2;2;1;1;
Comunitat Valenciana (VC);2013;80,16;85,47;82,85;1241,43;1144;1;1;1;1;1;
Extremadura (EX);2013;79,24;85,16;82,15;1439,40;1404;1;1;1;2;2;
Galicia (GA);2013;79,79;86,00;82,94;1335,46;1293;1;1;1;1;2;
La Rioja (RI);2013;81,07;86,90;83,97;1330,08;1308;2;2;2;1;2;
Madrid, Comunidad de (MD);2013;81,68;87,57;84,82;1197,23;1159;2;2;2;1;1;
Murcia, Región de (MC);2013;80,11;85,33;82,73;1505,06;1427;1;1;1;2;2;
Navarra, C. Foral de (NC);2013;80,91;87,17;84,04;1520,19;1400;2;2;2;2;2;
País Vasco (PV);2013;80,19;87,14;83,73;1578,66;1570;1;2;2;2;2;
Andalucía (AN);2014;79,26;84,84;82,07;1109,66;1042;1;1;1;1;1;
Aragón (AR);2014;80,28;86,22;83,23;1478,39;1431;1;1;1;2;2;
Asturias, Principado de (AS);2014;79,16;85,63;82,47;1456,11;1440;1;1;1;2;2;
Balears, Illes (IB);2014;80,29;85,75;83,02;1290,43;1202;1;1;1;1;1;
Canarias (CN);2014;79,79;85,21;82,48;1346,56;1242;1;1;1;1;1;
Cantabria (CB);2014;79,91;86,30;83,13;1416,85;1369;1;2;1;2;2;
Castilla - La Mancha (CM);2014;80,95;86,52;83,68;1297,72;1224;2;2;2;1;1;
Castilla y León (CL);2014;81,14;87,13;84,10;1324,38;1274;2;2;2;1;1;
Cataluña (CT);2014;80,61;86,47;83,61;1289,39;1241;2;2;2;1;1;
Comunitat Valenciana (VC);2014;80,22;85,46;82,86;1284,49;1196;1;1;1;1;1;
Extremadura (EX);2014;79,79;85,72;82,71;1493,19;1451;1;1;1;2;2;
Galicia (GA);2014;80,08;86,58;83,37;1338,63;1299;1;2;2;1;1;
La Rioja (RI);2014;80,98;87,40;84,14;1351,89;1332;2;2;2;1;2;
Madrid, Comunidad de (MD);2014;81,92;87,59;84,95;1186,65;1165;2;2;2;1;1;
Murcia, Región de (MC);2014;80,37;85,32;82,86;1486,97;1417;1;1;1;2;2;
Navarra, C. Foral de (NC);2014;80,87;86,86;83,87;1494,84;1435;2;2;2;2;2;
País Vasco (PV);2014;80,71;86,87;83,88;1591,09;1588;2;2;2;2;2;
Andalucía (AN);2015;78,86;84,23;81,55;1145,85;1092;1;1;1;1;1;
Aragón (AR);2015;80,07;85,97;82,98;1514,26;1475;1;2;2;2;2;
Asturias, Principado de (AS);2015;79,09;85,46;82,34;1546,67;1535;1;1;1;2;2;
Balears, Illes (IB);2015;79,96;85,30;82,61;1379,40;1295;1;1;1;1;1;
Canarias (CN);2015;79,95;84,64;82,29;1410,17;1308;1;1;1;1;1;
Cantabria (CB);2015;79,91;85,82;82,90;1464,57;1422;1;2;1;2;2;
Castilla - La Mancha (CM);2015;80,42;85,81;83,06;1386,10;1307;2;2;2;1;1;
Castilla y León (CL);2015;80,98;86,77;83,84;1507,36;1454;2;2;2;2;2;
Cataluña (CT);2015;80,50;86,10;83,36;1383,55;1326;2;2;2;1;1;
Comunitat Valenciana (VC);2015;79,72;85,20;82,47;1394,16;1308;1;1;1;1;1;
Extremadura (EX);2015;79,20;85,31;82,20;1546,19;1506;1;1;1;2;2;
Galicia (GA);2015;79,82;85,90;82,90;1437,47;1399;1;2;1;1;2;
La Rioja (RI);2015;80,70;86,59;83,61;1397,79;1383;2;2;2;1;1;
Madrid, Comunidad de (MD);2015;81,48;87,05;84,43;1254,34;1242;2;2;2;1;1;
Murcia, Región de (MC);2015;79,94;84,94;82,44;1535,92;1473;1;1;1;2;2;
Navarra, C. Foral de (NC);2015;81,17;86,80;83,99;1550,90;1507;2;2;2;2;2;
País Vasco (PV);2015;80,27;86,41;83,41;1626,19;1635;2;2;2;2;2;
Andalucía (AN);2016;79,41;84,93;82,18;1158,86;1112;1;1;1;1;1;
Aragón (AR);2016;80,62;87,07;83,81;1577,52;1547;2;2;2;2;2;
Asturias, Principado de (AS);2016;79,34;85,80;82,64;1594,66;1584;1;1;1;2;2;
